endpoint,p,r,g,u_A,u_B,scenario,total_expected_cost_ceiling
report_hypothetical,0.6,0.8,0,0.0,0.0,equal,120.0
report_hypothetical,0.6,0.8,0,0.0,0.2,differential,3.6480000000000246
report_hypothetical,0.6,0.8,0.3,0.0,0.0,equal,120.0
report_hypothetical,0.6,0.8,0.3,0.0,0.2,differential,-5.078399999999959
report_hypothetical,0.6,0.8,0.6,0.0,0.0,equal,120.0
report_hypothetical,0.6,0.8,0.6,0.0,0.2,differential,-13.804799999999943
report_hypothetical,0.6,0.8,1,0.0,0.0,equal,120.0
report_hypothetical,0.6,0.8,1,0.0,0.2,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.01,0.01,equal,134.544
report_hypothetical,0.6,0.8,0,0.01,0.21000000000000002,differential,16.010400000000004
report_hypothetical,0.6,0.8,0.3,0.01,0.01,equal,130.1808
report_hypothetical,0.6,0.8,0.3,0.01,0.21000000000000002,differential,3.5752800000000207
report_hypothetical,0.6,0.8,0.6,0.01,0.01,equal,125.81760000000001
report_hypothetical,0.6,0.8,0.6,0.01,0.21000000000000002,differential,-8.859839999999963
report_hypothetical,0.6,0.8,1,0.01,0.01,equal,120.00000000000003
report_hypothetical,0.6,0.8,1,0.01,0.21000000000000002,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.02,0.02,equal,149.08800000000002
report_hypothetical,0.6,0.8,0,0.02,0.22,differential,28.37280000000004
report_hypothetical,0.6,0.8,0.3,0.02,0.02,equal,140.3616
report_hypothetical,0.6,0.8,0.3,0.02,0.22,differential,12.22896000000003
report_hypothetical,0.6,0.8,0.6,0.02,0.02,equal,131.6352
report_hypothetical,0.6,0.8,0.6,0.02,0.22,differential,-3.9148799999999824
report_hypothetical,0.6,0.8,1,0.02,0.02,equal,120.0
report_hypothetical,0.6,0.8,1,0.02,0.22,differential,-25.439999999999998
report_hypothetical,0.6,0.8,0,0.03,0.03,equal,163.632
report_hypothetical,0.6,0.8,0,0.03,0.23,differential,40.73520000000002
report_hypothetical,0.6,0.8,0.3,0.03,0.03,equal,150.54240000000001
report_hypothetical,0.6,0.8,0.3,0.03,0.23,differential,20.88264000000001
report_hypothetical,0.6,0.8,0.6,0.03,0.03,equal,137.45279999999997
report_hypothetical,0.6,0.8,0.6,0.03,0.23,differential,1.030079999999998
report_hypothetical,0.6,0.8,1,0.03,0.03,equal,120.0
report_hypothetical,0.6,0.8,1,0.03,0.23,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.04,0.04,equal,178.17600000000002
report_hypothetical,0.6,0.8,0,0.04,0.24000000000000002,differential,53.09760000000003
report_hypothetical,0.6,0.8,0.3,0.04,0.04,equal,160.72319999999996
report_hypothetical,0.6,0.8,0.3,0.04,0.24000000000000002,differential,29.53631999999999
report_hypothetical,0.6,0.8,0.6,0.04,0.04,equal,143.27039999999997
report_hypothetical,0.6,0.8,0.6,0.04,0.24000000000000002,differential,5.975039999999979
report_hypothetical,0.6,0.8,1,0.04,0.04,equal,120.0
report_hypothetical,0.6,0.8,1,0.04,0.24000000000000002,differential,-25.439999999999998
report_hypothetical,0.6,0.8,0,0.05,0.05,equal,192.72
report_hypothetical,0.6,0.8,0,0.05,0.25,differential,65.46000000000004
report_hypothetical,0.6,0.8,0.3,0.05,0.05,equal,170.904
report_hypothetical,0.6,0.8,0.3,0.05,0.25,differential,38.19
report_hypothetical,0.6,0.8,0.6,0.05,0.05,equal,149.08799999999997
report_hypothetical,0.6,0.8,0.6,0.05,0.25,differential,10.920000000000016
report_hypothetical,0.6,0.8,1,0.05,0.05,equal,120.0
report_hypothetical,0.6,0.8,1,0.05,0.25,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.06,0.06,equal,207.264
report_hypothetical,0.6,0.8,0,0.06,0.26,differential,77.82240000000004
report_hypothetical,0.6,0.8,0.3,0.06,0.06,equal,181.08479999999994
report_hypothetical,0.6,0.8,0.3,0.06,0.26,differential,46.84367999999995
report_hypothetical,0.6,0.8,0.6,0.06,0.06,equal,154.90559999999994
report_hypothetical,0.6,0.8,0.6,0.06,0.26,differential,15.864959999999996
report_hypothetical,0.6,0.8,1,0.06,0.06,equal,120.0
report_hypothetical,0.6,0.8,1,0.06,0.26,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.07,0.07,equal,221.808
report_hypothetical,0.6,0.8,0,0.07,0.27,differential,90.1848
report_hypothetical,0.6,0.8,0.3,0.07,0.07,equal,191.26559999999998
report_hypothetical,0.6,0.8,0.3,0.07,0.27,differential,55.497360000000015
report_hypothetical,0.6,0.8,0.6,0.07,0.07,equal,160.72320000000002
report_hypothetical,0.6,0.8,0.6,0.07,0.27,differential,20.809920000000034
report_hypothetical,0.6,0.8,1,0.07,0.07,equal,120.0
report_hypothetical,0.6,0.8,1,0.07,0.27,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.08,0.08,equal,236.35200000000003
report_hypothetical,0.6,0.8,0,0.08,0.28,differential,102.5472
report_hypothetical,0.6,0.8,0.3,0.08,0.08,equal,201.44639999999998
report_hypothetical,0.6,0.8,0.3,0.08,0.28,differential,64.15104000000002
report_hypothetical,0.6,0.8,0.6,0.08,0.08,equal,166.54079999999993
report_hypothetical,0.6,0.8,0.6,0.08,0.28,differential,25.754879999999957
report_hypothetical,0.6,0.8,1,0.08,0.08,equal,120.0
report_hypothetical,0.6,0.8,1,0.08,0.28,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.09,0.09,equal,250.89600000000002
report_hypothetical,0.6,0.8,0,0.09,0.29000000000000004,differential,114.90960000000001
report_hypothetical,0.6,0.8,0.3,0.09,0.09,equal,211.62720000000002
report_hypothetical,0.6,0.8,0.3,0.09,0.29000000000000004,differential,72.80472000000003
report_hypothetical,0.6,0.8,0.6,0.09,0.09,equal,172.35840000000002
report_hypothetical,0.6,0.8,0.6,0.09,0.29000000000000004,differential,30.699839999999995
report_hypothetical,0.6,0.8,1,0.09,0.09,equal,120.0
report_hypothetical,0.6,0.8,1,0.09,0.29000000000000004,differential,-25.43999999999994
report_hypothetical,0.6,0.8,0,0.1,0.1,equal,265.44000000000005
report_hypothetical,0.6,0.8,0,0.1,0.30000000000000004,differential,127.27200000000002
report_hypothetical,0.6,0.8,0.3,0.1,0.1,equal,221.80799999999996
report_hypothetical,0.6,0.8,0.3,0.1,0.30000000000000004,differential,81.45839999999998
report_hypothetical,0.6,0.8,0.6,0.1,0.1,equal,178.17599999999993
report_hypothetical,0.6,0.8,0.6,0.1,0.30000000000000004,differential,35.64479999999992
