alpha,u,ceiling
0,0,0.0
0,0.25,0.0
0,0.5,0.0
0,0.75,0.0
0,1,0.0
0.25,0,11.513157894736842
0.25,0.25,35.93256578947364
0.25,0.5,60.35197368421041
0.25,0.75,84.77138157894728
0.25,1,109.19078947368416
0.5,0,23.026315789473685
0.5,0.25,71.8651315789474
0.5,0.5,120.70394736842104
0.5,0.75,169.5427631578948
0.5,1,218.38157894736833
0.75,0,34.539473684210535
0.75,0.25,107.7976973684211
0.75,0.5,181.05592105263145
0.75,0.75,254.31414473684208
0.75,1,327.5723684210525
1,0,46.05263157894737
1,0.25,143.73026315789474
1,0.5,241.40789473684197
1,0.75,339.08552631578937
1,1,436.76315789473665
